iter	Passed	Remaining
0	140	140583
1	141	70425
2	141	47060
3	141	35357
4	142	28325
5	142	23635
6	142	20285
7	143	17774
8	143	15820
9	144	14257
10	144	12978
11	144	11924
12	145	11023
13	145	10250
14	145	9579
15	146	8991
16	146	8473
17	146	8012
18	147	7600
19	147	7228
20	147	6893
21	148	6588
22	148	6309
23	148	6054
24	149	5819
25	149	5602
26	149	5401
27	150	5214
28	150	5040
29	150	4878
30	151	4726
31	151	4583
32	151	4449
33	152	4324
34	152	4205
35	152	4093
36	153	3986
37	153	3886
38	153	3792
39	154	3701
40	154	3616
41	154	3534
42	155	3456
43	155	3381
44	155	3309
45	156	3244
46	156	3179
47	157	3117
48	157	3057
49	157	3000
50	158	2944
51	158	2891
52	158	2839
53	159	2791
54	159	2743
55	160	2697
56	160	2653
57	160	2610
58	161	2568
59	161	2528
60	161	2489
61	162	2452
62	162	2415
63	162	2380
64	163	2346
65	163	2312
66	163	2280
67	164	2249
68	164	2218
69	164	2189
70	165	2160
71	165	2132
72	165	2104
73	166	2078
74	166	2052
75	166	2027
76	167	2003
77	167	1979
78	167	1956
79	168	1933
80	168	1912
81	168	1891
82	169	1868
83	169	1848
84	169	1828
85	170	1808
86	170	1789
87	170	1770
88	171	1752
89	171	1734
90	171	1716
91	172	1699
92	172	1682
93	172	1665
94	173	1649
95	173	1633
96	173	1617
97	174	1603
98	174	1588
99	174	1573
100	175	1559
101	175	1545
102	175	1531
103	176	1517
104	176	1504
105	176	1491
106	177	1478
107	177	1466
108	177	1453
109	178	1441
110	178	1429
111	178	1418
112	179	1406
113	179	1395
114	179	1384
115	180	1373
116	180	1363
117	181	1353
118	181	1343
119	181	1333
120	182	1323
121	182	1312
122	182	1303
123	183	1293
124	183	1284
125	183	1274
126	184	1265
127	184	1256
128	184	1247
129	185	1238
130	185	1229
131	185	1221
132	186	1212
133	186	1204
134	186	1196
135	187	1188
136	187	1180
137	187	1172
138	188	1165
139	188	1157
140	188	1150
141	188	1141
142	189	1134
143	189	1127
144	189	1120
145	190	1113
146	190	1106
147	190	1099
148	191	1092
149	191	1086
150	192	1079
151	192	1074
152	193	1068
153	193	1062
154	193	1056
155	194	1049
156	194	1043
157	194	1037
158	195	1032
159	195	1026
160	195	1020
161	196	1014
162	196	1008
163	196	1002
164	197	997
165	197	991
166	197	986
167	198	981
168	198	975
169	198	970
170	199	965
171	199	960
172	199	955
173	200	950
174	200	944
175	200	939
176	201	935
177	201	930
178	201	925
179	202	920
180	202	916
181	202	911
182	203	906
183	203	902
184	203	897
185	204	893
186	204	889
187	204	885
188	205	881
189	205	876
190	206	872
191	206	868
192	206	864
193	207	860
194	207	855
195	207	851
196	208	847
